fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.2410714285714286,0.47933884297520657,0.0,0.0684931506849315,0.10684474123539232,0.14084507042253522,0.0989399293286219,0.5675477239353917,0.5652173913043478,0.11801242236024849,0.15384615384615385,0
0.27678571428571425,0.628099173553719,0.0,0.11643835616438358,0.14357262103505844,0.3380281690140845,0.21554770318021202,0.49412628487518584,0.29565217391304377,0.19254658385093174,0.21538461538461545,0
0.27678571428571425,0.5289256198347108,0.05063291139240506,0.0958904109589041,0.13355592654424042,0.19718309859154928,0.1696113074204947,0.5088105726872254,0.3478260869565217,0.1739130434782609,0.21538461538461545,0
0.5803571428571428,0.13223140495867772,0.7088607594936709,0.0684931506849315,0.10517529215358933,0.22535211267605634,0.19081272084805653,0.5822320117474312,0.2608695652173916,0.13043478260869565,0.21538461538461545,1
0.2410714285714286,0.47933884297520657,0.0,0.0684931506849315,0.10684474123539232,0.14084507042253522,0.0989399293286219,0.5675477239353917,0.5652173913043478,0.11801242236024849,0.15384615384615385,0
0.2410714285714286,0.44628099173553726,0.0,0.06164383561643836,0.10517529215358933,0.16901408450704225,0.12014134275618374,0.5675477239353917,0.5652173913043478,0.11801242236024849,0.15384615384615385,0
0.28571428571428575,0.39669421487603307,0.07594936708860758,0.04794520547945206,0.09515859766277131,0.19718309859154928,0.1872791519434629,0.4647577092510986,0.38260869565217387,0.055900621118012445,0.15384615384615385,0
0.23214285714285712,0.4380165289256199,0.0,0.020547945205479447,0.08848080133555927,0.19718309859154928,0.053003533568904596,0.33259911894273464,0.46086956521739153,0.06211180124223602,0.2461538461538461,2
0.27678571428571425,0.3801652892561983,0.02531645569620253,0.07534246575342467,0.1018363939899833,0.11267605633802817,0.04240282685512368,0.49412628487518584,0.4347826086956522,0.12422360248447203,0.16923076923076918,2
0.25,0.3140495867768595,0.45569620253164556,0.3561643835616438,0.09849749582637729,0.22535211267605634,0.3392226148409894,0.5675477239353917,0.42608695652173934,0.26708074534161497,0.32307692307692304,0
0.17857142857142858,0.3801652892561983,0.10126582278481013,0.06164383561643836,0.14190317195325527,0.19718309859154928,0.20848056537102475,0.42804698972099975,0.36521739130434777,0.10559006211180127,0.12307692307692292,0
0.25,0.3140495867768595,0.45569620253164556,0.3561643835616438,0.09849749582637729,0.22535211267605634,0.3392226148409894,0.5675477239353917,0.42608695652173934,0.26708074534161497,0.32307692307692304,0
0.08035714285714282,0.4090909090909091,0.0,0.04794520547945206,0.1285475792988314,0.2112676056338028,0.1872791519434629,0.3105726872246672,0.6260869565217394,0.09316770186335406,0.23076923076923078,0
