Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
0.23466869147718553,0.35837018186706915,0.9224843759369853,0.3687811647974121,0.5858188289736879,0.47277001796936596,0.4522250267017856,1
0.43933140088905853,0.3331069695298877,0.7957061698889089,0.5589280173849508,0.5114084845759098,0.5138074480573968,0.43618517393425693,1
0.5059480603249443,0.44809228604969636,0.3885673761219537,0.4177316005433491,0.6603883011874392,0.4446933201572549,0.6681922571557725,0
0.4790141447948413,0.3769713667052447,0.6194220324386945,0.4356286996139432,0.7203700653889351,0.18705206073486796,0.5411802305067872,1
0.628107090860314,0.4523169960047324,0.4905893856524401,0.4023465012584742,0.6748138238958763,0.3480840988299788,0.5211501452847824,1
0.27484024758267883,0.4436256939277356,0.3753729574057178,0.40214400675724654,0.15824539383967,0.5937228062248636,0.2794962556188089,0
0.6257018013094396,0.6789352648685134,0.5855923514483324,0.32009424494326705,0.6804770688699775,0.3065981247323821,0.6538001648696017,1
0.380307888878943,0.5193661277411371,0.6349291179425127,0.3884549355024087,0.4592971110824569,0.5219668299652674,0.38434324140930437,1
0.24222259039622515,0.2639247269928984,0.5939163762435535,0.35447424477841916,0.6194345033137657,0.7590588503622855,0.14835885958325404,0
0.47379312615286034,0.5182949320861625,0.2111823032193936,0.48648005095998,0.4769224279034071,0.571302612535443,0.6379445679038445,0
0.3283923731617021,0.4497749802199171,0.41267715386031817,0.39704189595650036,0.6253027077303256,0.7073313483475803,0.29133890193660994,0
0.7082617904869198,0.5089168957309519,0.3963588683638009,0.5117004701025444,0.2907468992582883,0.5402751689860968,0.5761154447171583,1
0.5148882814165517,0.408218501873458,0.38604913389064477,0.619251853649145,0.21516417377174815,0.39990385773773185,0.3423052682825414,0
0.42824476794899863,0.4270407164599905,0.6736271850767498,0.5711094962977556,0.5222352931388837,0.4807334273055716,0.6059242527735517,1
0.736925242822235,0.5258697318952804,0.44272444550443,0.508203627097526,0.3498222459185489,0.4920442071866327,0.6049310094753794,1
0.331301998582002,0.3364740815977274,0.8383866818955348,0.493795454197169,0.6110329350810727,0.44082059988284616,0.4111553754612099,1
0.41914162779834796,0.40179772581139284,0.3526996133835358,0.5093135175785088,0.6623253236295618,0.7502845174449422,0.4476036648945131,0
0.5220015019780886,0.18817558776110785,0.5384005752204788,0.657435926746849,0.5531657096627408,0.24581603068580382,0.5731079696004403,1
0.505185385030302,0.685769599963329,0.3355199129675379,0.6961776390699456,0.48113045371479557,0.44192062009571403,0.6593228814036268,0
0.3720037716005418,0.5800610131418439,0.4324454594425839,0.7591845665615876,0.5645558192207074,0.09421337310839932,0.39082718693659346,1
0.35529493275387924,0.3250352659259251,0.2593830549083805,0.4985370822494342,0.7532743134469536,0.9319675090893837,0.536744134332891,0
0.6143422970085253,0.49674763330290533,0.4150427947798624,1.0,0.5276172288204766,0.1625494349825235,0.6696706728241733,1
0.3487042662890499,0.49853687872478847,0.5305827970144184,0.48886348550829317,0.6717886896676051,0.5070867751478074,0.7072169531952229,0
0.5374966555398267,0.4942668781530629,0.35407318201639154,0.5187847011352303,0.4909415699933859,0.4649446774666926,0.6310776032451183,0
0.5660587267785507,0.44215720739064873,0.4635451704078567,0.5734424742054123,0.13164595676105476,0.3082913608354937,0.38709693218456254,0
0.4316421647128958,0.28167678266465057,0.4344644861481501,0.4834374323834196,0.23670087765018627,0.57845955181364,0.219482230827466,0
0.5053082628444128,0.5128250844844635,0.5889860237004744,0.5435670212210103,0.6180743184072504,0.5044814180953531,0.28279097458501556,1
0.6749879629880576,0.6042888954245061,0.3613478483671242,0.6362657616531816,0.3731269136095667,0.47608927343614055,0.3199971398977251,0
0.6341429964319409,0.6805376766631304,0.3856213811987934,0.5677565876262509,0.421739474806441,0.34666527369206607,0.405986741461276,0
0.4835406221024604,0.6711090351613123,0.3862394781268818,0.4913787245110364,0.4148955549185302,0.5086869195512495,0.6005083501595285,0
0.5577634008694499,0.3778474144877054,0.26817619522710684,0.42192985381551773,0.24223173764033476,0.6449628817645229,0.2756533498745263,0
0.33860509100642,0.5450641463347689,0.7014830280650662,0.5391883152020888,0.6928843896635846,0.3104319292650549,0.3034068893640792,1
0.6515208805061397,0.32210147493938707,0.5135635285575479,0.37347167660685443,0.6751093449351749,0.3935136825410516,0.5672808444382507,1
0.48405909132571834,0.4658113666447682,0.6947397684444703,0.4655963877235738,0.8337375368533578,0.19176667524444593,0.87203660133258,0
0.5249519394757499,0.44952011430394484,0.6951019688179056,0.6521298464808294,0.5093038880873717,0.5287010155533677,0.6459029873085431,1
0.45701937924754876,0.3623297942015501,0.21156413341635025,0.5041470562244241,0.5226591988769583,0.8273453285544338,0.4182473747491461,0
0.30170502133943927,0.6172028514406173,0.43844083564366726,0.5542848937498124,0.5797586244508047,0.4432859954002314,0.3826098335834053,1
